class,precision,recall,f1_score,support
2,0.9832,0.8321,0.9014,703
3,0.0045,1.0,0.009,9
4,0.6864,1.0,0.8141,81
5,0.0,0.0,0.0,3
6,0.0263,0.0377,0.031,53
7,0.0833,0.1667,0.1111,6
8,0.0,0.0,0.0,2
9,0.0,0.0,0.0,18
10,0.4585,0.8415,0.5936,631
11,0.0148,0.1667,0.0271,18
12,0.0121,0.9524,0.0238,21
13,0.1034,0.2727,0.15,22
14,0.8824,0.4688,0.6122,128
15,0.8124,0.2712,0.4066,4215
16,0.0,0.0,0.0,896
17,0.0,0.0,0.0,7
18,0.0388,0.1416,0.061,113
19,0.0,0.0,0.0,148
20,0.0,0.0,0.0,134
21,0.5455,0.1481,0.233,81
22,0.0,0.0,0.0,8
23,0.0,0.0,0.0,3
24,0.0,0.0,0.0,7
25,0.0,0.0,0.0,244
26,0.0,0.0,0.0,389
27,0.0,0.0,0.0,1
28,0.0,0.0,0.0,2
29,0.0,0.0,0.0,20
30,0.0,0.0,0.0,64
31,0.0,0.0,0.0,7
32,0.0,0.0,0.0,4
33,0.0,0.0,0.0,23
34,0.0,0.0,0.0,10
35,0.0,0.0,0.0,6
36,0.0,0.0,0.0,22
37,0.0,0.0,0.0,3
macro,0.1470276442979015,0.19129435158210475,0.12958604034335397,0
fold 7,,,,
0,0.935,0.9514,0.9432,8835
1,0.0324,0.125,0.0514,64
2,0.9905,0.9937,0.9921,631
3,0.0059,1.0,0.0117,7
4,0.963,1.0,0.9811,78
5,0.25,0.25,0.25,4
6,0.0415,0.1754,0.0671,57
7,0.02,1.0,0.0392,5
8,0.0,0.0,0.0,9
9,0.0,0.0,0.0,29
10,0.482,0.9232,0.6333,651
11,0.0163,0.1364,0.0291,22
12,0.0192,0.9545,0.0376,22
13,0.0709,0.4286,0.1216,21
14,0.7913,0.6594,0.7194,138
15,0.8256,0.3558,0.4973,4126
16,0.0,0.0,0.0,956
17,0.0,0.0,0.0,2
18,0.0881,0.4658,0.1481,146
19,0.0,0.0,0.0,129
20,0.0,0.0,0.0,123
21,0.8333,0.2632,0.4,76
22,0.0,0.0,0.0,8
23,0.0,0.0,0.0,8
24,0.0,0.0,0.0,6
25,0.0,0.0,0.0,265
26,0.0,0.0,0.0,425
27,0.0,0.0,0.0,2
28,0.0,0.0,0.0,6
29,0.0,0.0,0.0,23
30,0.0,0.0,0.0,51
31,0.0,0.0,0.0,5
32,0.0,0.0,0.0,5
33,0.0,0.0,0.0,17
34,0.0,0.0,0.0,13
36,0.0,0.0,0.0,18
37,0.0,0.0,0.0,2
macro,0.17202609748548164,0.26168492769116075,0.16006284512882168,0
fold 8,,,,
0,0.9084,0.9649,0.9358,8834
1,0.0,0.0,0.0,47
2,0.9924,0.9818,0.9871,661
3,0.0061,1.0,0.0121,9
4,0.9054,0.9306,0.9178,72
5,0.25,0.5,0.3333,2
6,0.0388,0.0714,0.0503,56
7,0.6667,0.4444,0.5333,9
8,0.0353,0.3,0.0632,10
9,0.0058,0.0588,0.0106,17
10,0.6303,0.4643,0.5347,672
11,0.0114,0.2667,0.0219,15
12,0.0093,1.0,0.0183,18
13,0.25,0.0357,0.0625,28
14,0.9126,0.7287,0.8103,129
